_id,% agr
"Korea, Rep.",0.182351126195619
Kuwait,0.085297418630752
Latin America & Caribbean (excluding high income),0.373380731463487
Lao PDR,0.0961871750433276
Lebanon,0.625610948191593
Liberia,0.276162790697674
Libya,0.0872443934210078
St. Lucia,0.17377049180327903
Latin America & Caribbean,0.37097551091119496
Least developed countries: UN classification,0.38775576479098606
Low income,0.38850456969647396
Liechtenstein,0.39375
Sri Lanka,0.417796204752033
Lower middle income,0.45184765476968103
Low & middle income,0.379692167632933
Lesotho,0.766139657444005
Late-demographic dividend,0.351674915675962
Lithuania,0.442329477463103
Luxembourg,0.505945945945946
Latvia,0.290006426735219
Morocco,0.671931436253641
Moldova,0.7503805175038051
Madagascar,0.711816899955291
Maldives,0.263333333333333
Middle East & North Africa,0.331318952224333
Mexico,0.548908150929808
Marshall Islands,0.722222222222222
Middle income,0.378144813729364
"Macedonia, FYR",0.443695479777954
Mali,0.33643121153263
Malta,0.3228125
Myanmar,0.19174601230750402
Middle East & North Africa (excluding high income),0.227119709117168
Montenegro,0.380669144981413
Mongolia,0.731146527974459
Northern Mariana Islands,0.0652173913043478
Mozambique,0.635189094330985
Mauritania,0.38528184728825104
Mauritius,0.44827586206896597
Malawi,0.6029910903691129
Malaysia,0.227240907015675
North America,0.258590876148102
Namibia,0.471389182426605
New Caledonia,0.10864332603938699
Niger,0.347217178495303
Nigeria,0.768580431942203
Nicaragua,0.417649991690211
Netherlands,0.555084494515268
Norway,0.0275404180755383
Nepal,0.28782699686083
Nauru,0.2
New Zealand,0.433253579431089
OECD members,0.354310765007765
Oman,0.047579967689822304
Other small states,0.405868075048013
Pakistan,0.45716583644665804
Panama,0.30486817325800397
Peru,0.18767968750000003
Philippines,0.40580876681088
Palau,0.108695652173913
Papua New Guinea,0.026277436735414897
Poland,0.471757868616952
Pre-demographic dividend,0.409699715912571
Puerto Rico,0.218376550169109
"Korea, Dem. People’s Rep.",0.222572876006976
Portugal,0.398970411616989
Paraguay,0.534356909136673
West Bank and Gaza,0.41179401993355497
Pacific island small states,0.134299065420561
Post-demographic dividend,0.349376549236871
French Polynesia,0.121584699453552
Qatar,0.056416881998277296
Romania,0.6153444903281889
Russian Federation,0.13064279071641902
Rwanda,0.731220105391163
South Asia,0.564257686714476
Saudi Arabia,0.806655843400676
Sudan,0.42095622895622903
Senegal,0.49124811717654404
Singapore,0.0105413105413105
Solomon Islands,0.038227938549482005
Sierra Leone,0.544524799113328
El Salvador,0.7408301158301159
San Marino,0.166666666666667
Somalia,0.703414416424905
Serbia,0.402652641207409
Sub-Saharan Africa (excluding high income),0.43165276328825597
Sub-Saharan Africa,0.431645414675803
Small states,0.34320004000399995
Sao Tome and Principe,0.505208333333333
Suriname,0.005019230769230771
Slovak Republic,0.404379197770893
Slovenia,0.309761668321748
Sweden,0.0751815567578106
Swaziland,0.7104651162790699
Seychelles,0.0543478260869565
Syrian Arab Republic,0.7573925829112891
Turks and Caicos Islands,0.0105263157894737
Chad,0.39338468869123294
East Asia & Pacific (IDA & IBRD countries),0.479784602949144
Europe & Central Asia (IDA & IBRD countries),0.28347181116361897
Togo,0.673837102408531
Thailand,0.41222180899998
Tajikistan,0.33978993998285195
Turkmenistan,0.723512012427383
Latin America & the Caribbean (IDA & IBRD countries),0.369987639622948
Timor-Leste,0.250168123739072
Middle East & North Africa (IDA & IBRD countries),0.226990964950679
Tonga,0.444444444444444
South Asia (IDA & IBRD),0.564257686714476
Sub-Saharan Africa (IDA & IBRD countries),0.431645414675803
Trinidad and Tobago,0.10526315789473699
Tunisia,0.646112255406797
Turkey,0.506892922573184
Tuvalu,0.6
Tanzania,0.422781666290359
Uganda,0.711400359066427
Ukraine,0.712335151556998
Upper middle income,0.34882546483059895
Uruguay,0.824648611587247
United States,0.446493328173408
Uzbekistan,0.626939351198872
St. Vincent and the Grenadines,0.256410256410256
"Venezuela, RB",0.244884076866391
British Virgin Islands,0.466666666666667
Virgin Islands (U.S.),0.114285714285714
Vietnam,0.347021640274777
Vanuatu,0.153404429860541
World,0.37486985757386004
Samoa,0.123674911660777
"Yemen, Rep.",0.446597344546092
South Africa,0.79871237913098
Zambia,0.31525847805324303
Zimbabwe,0.418766963939511
